Srno,Question,OptionA,OptionB,OptionC,OptionD,answer
108," Which service is best for storing common database query results, which 
helps to alleviate database access load?",Amazon Machine Learning,Amazon SQS,Amazon ElastiCache," Amazon 
EC2 Instance Store "," C  Amazon ElastiCache for Redis is a great choice for implementing a highly 
available, distributed, and secure in-memory cache to decrease access 
latency, increase throughput, and ease the load off your relational or 
NoSQL databases and applications. ElastiCache can serve frequently 
requested items at sub- millisecond response times, and enables you to 
easily scale for higher loads without growing the costlier backend 
databases. Database query results caching, persistent session caching, and 
full-page caching are all popular examples of caching with ElastiCache for 
Redis."
109,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
110," Which of the following can an AWS customer use to launch a new Amazon 
Relational Database Service (Amazon RDS) cluster?",AWS Concierge,AWS CloudFormation,"Amazon Simple Storage Service 
(Amazon S3)", Amazon EC2 Auto Scaling E. AWS Management Console , E 
111," Which of the following features can be configured through the Amazon 
Virtual Private Cloud (Amazon VPC) Dashboard? (Choose two.)",Amazon CloudFront distributions,Amazon Route 53,Security Groups , Subnets E. Elastic Load Balancing ," CD  Amazon Virtual Private Cloud (Amazon VPC) lets you provision a logically 
isolated section of the AWS Cloud where you can launch AWS resources in a 
virtual network that you define. You have complete control over your 
virtual networking environment, including selection of your own IP address 
range, creation of subnets, and configuration of route tables and network 
gateways. You can use both IPv4 and IPv6 in your VPC for secure and easy 
access to resources and applications.You can easily customize the network 
configuration for your Amazon VPC. For example, you can create a 
public-facing subnet for your web servers that has access to the Internet, 
and place your backend systems such as databases or application servers in 
a private-facing subnet with no Internet access. You can leverage multiple 
layers of security, including security groups and network access control 
lists, to help control access to Amazon EC2 instances in each 
subnet."
112," If each department within a company has its own AWS account, what is one 
way to enable consolidated billing?",Use AWS Budgets on each account to pay only to budget.,"Contact AWS 
Support for a monthly bill.","Create an AWS Organization from the payer 
account and invite the other accounts to join."," Put all invoices into one 
Amazon Simple Storage Service (Amazon S3) bucket, load data into Amazon 
Redshift, and then run a billing report. "," C  
"
113, How do customers benefit from Amazonג€™s massive economies of scale?,"Periodic price reductions as the result of Amazonג€™s operational 
efficiencies",New Amazon EC2 instance types providing the latest hardware ,The ability to scale up and down when needed," Increased reliability in 
the underlying hardware of Amazon EC2 instances ", A 
114," Which AWS services can be used to gather information about AWS account 
activity? (Choose two.)",Amazon CloudFront,AWS Cloud9,AWS CloudTrail," AWS CloudHSM E. 
Amazon CloudWatch "," CE  AWS offers a solution that uses AWS CloudTrail to log account activity, 
Amazon Kinesis to compute and stream metrics in real-time, and Amazon 
DynamoDB to durably store the computed data. Metrics are calculated for 
create, modify, and delete API calls for more than 60 supported AWS 
services. The solution also features a dashboard that visualizes your 
account activity in 
real-time."
115," Which of the following common IT tasks can AWS cover to free up company IT 
resources? (Choose two.)",Patching databases software,Testing application releases,"Backing 
up databases", Creating database schema E. Running penetration tests , AC 
116, In which scenario should Amazon EC2 Spot Instances be used?,"A company wants to move its main website to AWS from an on-premises web 
server.","A company has a number of application services whose Service 
Level Agreement (SLA) requires 99.999% uptime.","A companyג€™s heavily 
used legacy database is currently running on-premises."," A company has a 
number of infrequent, interruptible jobs that are currently using On-Demand 
Instances. "," D  
"
117," Which AWS feature should a customer leverage to achieve high availability 
of an application?",AWS Direct Connect,Availability Zones,Data centers," Amazon 
Virtual Private Cloud (Amazon VPC) "," B  This is to achieve High Availability for any web application (in this case 
SwiftCode) deployed in AWS. The following features will be present:✑ High 
availability across multiple instances/multiple availability zones.✑ Auto 
Scaling of instances (scale up and scale down) based on number of requests 
coming in✑ Additional Security to the instances/database that are in 
production✑ No impact to end users during newer version of code deployment✑ 
No Impact during patching the 
instances"
118," Which is the minimum AWS Support plan that includes Infrastructure Event 
Management without additional costs?",Enterprise,Business,Developer, Basic , A 
119, Which AWS service can serve a static website?,Amazon S3,Amazon Route 53,Amazon QuickSight, AWS X-Ray ," A  You can host a static website on Amazon Simple Storage Service (Amazon 
S3). On a static website, individual webpages include static content. They 
might also contain client-side scripts. By contrast, a dynamic website 
relies on server-side processing, including server-side scripts such as 
PHP, JSP, or ASP.NET. AmazonS3 does not support server-side 
scripting."
120," Which options does AWS make available for customers who want to learn 
about security in the cloud in an instructor-led setting? (Choose two.)",AWS Trusted Advisor,AWS Online Tech Talks,AWS Blog," AWS Forums 
E. AWS Classroom Training ", BE 
121, What can AWS edge locations be used for? (Choose two.),Hosting applications,Delivering content closer to users,"Running 
NoSQL database caching services"," Reducing traffic on the server by 
caching responses E. Sending notification messages to end users "," BD  CloudFront delivers your content through a worldwide network of data 
centers called edge locations. When a user requests content that you're 
serving withCloudFront, the user is routed to the edge location that 
provides the lowest latency (time delay), so that content is delivered with 
the best possible 
performance."
122," Which of the following can limit Amazon Simple Storage Service (Amazon S3) 
bucket access to specific users?",A public and private key-pair,Amazon Inspector,"AWS Identity and 
Access Management (IAM) policies", Security Groups ," C  To allow users to perform S3 actions on the bucket from the VPC endpoints 
or IP addresses, you must explicitly grant those user-level permissions. 
You can grant user-level permissions on either an AWS Identity and Access 
Management (IAM) policy or another statement in the bucket 
policy."
123," A solution that is able to support growth in users, traffic, or data size 
with no drop in performance aligns with which cloud architecture principle?",Think parallel,Implement elasticity,Decouple your components," 
Design for failure "," B  
"
124, A company will be moving from an on-premises data center to the AWS Cloud.What would be one financial difference after the move?,"Moving from variable operational expense (opex) to upfront capital 
expense (capex).","Moving from upfront capital expense (capex) to variable 
capital expense (capex).","Moving from upfront capital expense (capex) to 
variable operational expense (opex)."," Elimination of upfront capital 
expense (capex) and elimination of variable operational expense (opex). ", C 
125," How should a customer forecast the future costs for running a new web 
application?",Amazon Aurora Backtrack,Amazon CloudWatch Billing Alarms,"AWS 
Simple Monthly Calculator", AWS Cost and Usage report ," C  You can use Cost explorer which is part of Cost and Usage report to 
forecast future costs of running an 
application."
126," Which is the MINIMUM AWS Support plan that provides technical support 
through phone calls?",Enterprise,Business,Developer, Basic , B  
127, Which of the following tasks is the responsibility of AWS?,Encrypting client-side data,"Configuring AWS Identity and Access 
Management (IAM) roles",Securing the Amazon EC2 hypervisor," Setting 
user password policies "," C  In EC2, the AWS IaaS offering, everything from the hypervisor layer down 
is AWSג€™s responsibility. A customerג€™s poorly coded applications, 
misconfigured operating systems, or insecure firewall settings will not 
affect the hypervisor, it will only affect the customerג€™s virtual 
machines running on that 
hypervisor."
128," One benefit of On-Demand Amazon Elastic Compute Cloud (Amazon EC2) pricing 
is:",the ability to bid for a lower hourly cost.,"paying a daily rate 
regardless of time used.",#VALUE!," pre-paying for 
instances and paying a lower hourly rate. "," C  On-Demand Capacity Reservations are priced exactly the same as their 
equivalent (On-Demand) instance usage. If a Capacity Reservation is fully 
utilized, you only pay for instance usage and nothing towards the Capacity 
Reservation. If a Capacity Reservation is partially utilized, you pay for 
the instance usage and for the unused portion of the Capacity 
Reservation."
129," An administrator needs to rapidly deploy a popular IT solution and start 
using it immediately.Where can the administrator find assistance?",AWS Well-Architected Framework documentation,Amazon CloudFront,"
AWS CodeCommit", AWS Quick Start reference deployments ," D  Quick Starts are built by AWS solutions architects and partners to help 
you deploy popular technologies on AWS, based on AWS best practices for 
security and high availability. These accelerators reduce hundreds of 
manual procedures into just a few steps, so you can build your production 
environment quickly and start using it 
immediately."
130, How does AWS shorten the time to provision IT resources?,It supplies an online IT ticketing platform for resource requests.,"
It supports automatic code validation services.","It provides the ability 
to programmatically provision existing resources."," It automates the 
resource request process from a companyג€™s IT vendor list. ", C 
131, Which services are parts of the AWS serverless platform?,"Amazon EC2, Amazon S3, Amazon Athena","Amazon Kinesis, Amazon SQS, 
Amazon EMR","AWS Step Functions, Amazon DynamoDB, Amazon SNS"," Amazon 
Athena, Amazon Cognito, Amazon EC2 "," C  AWS provides a set of fully managed services that you can use to build and 
run serverless applications. Serverless applications donג€™t require 
provisioning, maintaining, and administering servers for backend components 
such as compute, databases, storage, stream processing, message queueing, 
and more. You also no longer need to worry about ensuring application fault 
tolerance and availability. Instead, AWS handles all of these capabilities 
for you. Serverless platform includes: AWS lambda, Amazon S3, DynamoDB, API 
gateway, Amazon SNS, AWS step functions, Amazon kinesis and developing 
tools and services."
132," According to the AWS shared responsibility model, what is the sole 
responsibility of AWS?",Application security,Edge location management,Patch management," 
Client-side data "," B  Client-side data, application security is the sole responsibility of the 
customer. Patch management is a shared responsibility. That leaves us with 
edge location management and since this out of the control of the customer, 
AWS is the one responsible for 
it."
133," Which AWS IAM feature is used to associate a set of permissions with 
multiple users?",Multi-factor authentication,Groups,Password policies," Access 
keys "," B  An IAM group is a collection of IAM users. You can use groups to specify 
permissions for a collection of users, which can make those permissions 
easier to manage for those users. For example, you could have a group 
called Admins and give that group the types of permissions that 
administrators typically 
need."
134, Which of the following are benefits of the AWS Cloud? (Choose two.),Unlimited uptime,Elasticity,Agility," Colocation E. Capital 
expenses "," BC  The most celebrated benefit of AWS cloud is elasticity since you can 
expand the services when you experience more traffic.Agile developments in 
AWS Cloud through strategies are day by day becoming more established 
within the enterprises across the world. With so much improvement and call 
for optimization in the cloud, it is necessary that these strategies get 
established from the ground up within the organizations. It is highly 
important as already enterprises have a lot of bequest, politics and 
hierarchies which act as barriers in their 
businesses."
135," Which of the following can a customer use to enable single sign-on (SSO) 
to the AWS Console?",Amazon Connect,AWS Directory Service,Amazon Pinpoint," Amazon 
Rekognition "," B  Single sign-on only works when used on a computer that is joined to the 
AWS Directory Service directory. It cannot be used on computers that are 
not joined to the 
directory."
136," What are the multiple, isolated locations within an AWS Region that are 
connected by low-latency networks called?",AWS Direct Connects,Amazon VPCs,Edge locations," Availability 
Zones "," D  Each Region is completely independent. Each Availability Zone is isolated, 
but the Availability Zones in a Region are connected through low-latency 
links. A LocalZone is an AWS infrastructure deployment that places select 
services closer to your end users. A Local Zone is an extension of a Region 
that is in a different location from your Region. It provides a 
high-bandwidth backbone to the AWS infrastructure and is ideal for 
latency-sensitive applications, for example machine 
learning."
137," Which of the following benefits does the AWS Compliance program provide to 
AWS customers? (Choose two.)","It verifies that hosted workloads are automatically compliant with the 
controls of supported compliance frameworks.","AWS is responsible for the 
maintenance of common compliance framework documentation.","It assures 
customers that AWS is maintaining physical security and data protection."," 
It ensures the use of compliance frameworks that are being used by other 
cloud providers. E. It will adopt new compliance frameworks as they become 
relevant to customer workloads. "," BC  
"
138," Which of the following services provides on-demand access to AWS 
compliance reports?",AWS IAM,AWS Artifact,Amazon GuardDuty, AWS KMS ," B  AWS Artifact is your go-to, central resource for compliance-related 
information that matters to you. It provides on-demand access to AWSג€™ 
security and compliance reports and select online agreements. Reports 
available in AWS Artifact include our Service Organization Control (SOC) 
reports, Payment CardIndustry (PCI) reports, and certifications from 
accreditation bodies across geographies and compliance verticals that 
validate the implementation and operating effectiveness of AWS security 
controls. Agreements available in AWS Artifact include the Business 
Associate Addendum (BAA) and the Nondisclosure 
Agreement(NDA)."
139," As part of the AWS shared responsibility model, which of the following 
operational controls do users fully inherit from AWS?",Security management of data center,Patch management,"Configuration 
management", User and access management , A  
140," Which of the following services is in the category of AWS serverless 
platform?",Amazon EMR,Elastic Load Balancing,AWS Lambda, AWS Mobile Hub ," C  AWS provides a set of fully managed services that you can use to build and 
run serverless applications. Serverless applications donג€™t require 
provisioning, maintaining, and administering servers for backend components 
such as compute, databases, storage, stream processing, message queueing, 
and more. You also no longer need to worry about ensuring application fault 
tolerance and availability. Instead, AWS handles all of these capabilities 
for you. Serverless platform includes: AWS lambda, Amazon S3, DynamoDB, API 
gateway, Amazon SNS, AWS step functions, Amazon kinesis and developing 
tools and services."
141," Under the shared responsibility model, which of the following tasks are 
the responsibility of the customer? (Choose two.)",Maintaining the underlying Amazon EC2 hardware.,"Managing the VPC 
network access control lists.",Encrypting data in transit and at rest.," 
Replacing failed hard disk drives. E. Deploying hardware in different 
Availability Zones. "," BC  The hardware related jobs is the prime responsibility of AWS. VPC network 
access control lists is something a customer has to do himself to secure 
the applications. Encrypting data in transit and at rest is a shared 
responsibility in which AWS plays a part. All hardware related jobs have 
nothing to do with the 
customer."
142, Which scenarios represent the concept of elasticity on AWS? (Choose two.),Scaling the number of Amazon EC2 instances based on traffic.,#VALUE!,"B. 
Resizing Amazon RDS instances as business needs change. C. Automatically 
directing traffic to less-utilized Amazon EC2 instances."," Using AWS 
compliance documents to accelerate the compliance process. E. Having the 
ability to create and govern environments using code. ", AB  
143, When is it beneficial for a company to use a Spot Instance?,When there is flexibility in when an application needs to run.,"When 
there are mission-critical workloads.",When dedicated capacity is need, When an instance should not be stopped. ," A  The key to understanding spot instances is to look at the way that cloud 
service providers such as Amazon Web Services (AWS) operate. Cloud service 
providers invest in hardware resources and then release those resources 
(often on a per-hour basis) to subscribers. One of the problems with this 
business model, however, is that at any given time, there are likely to be 
compute resources that are not being utilized. These resources represent 
hardware capacity that AWS has paid for but are sitting idle, and not 
making AWS any money at the moment.Rather than allowing these computing 
resources to go to waste, AWS offers them at a substantially discounted 
rate, with the understanding that if someone needs those resources for 
running a normal EC2 instance, that instance will take priority over spot 
instances that are using the hardware resources at a discounted rate.In 
fact, spot instances will be stopped if the resources are needed 
elsewhere."
144," A company is considering moving its on-premises data center to AWS.What factors should be included in doing a Total Cost of Ownership (TCO) 
analysis? (Choose two.)",Amazon EC2 instance availability,"Power consumption of the data 
center",Labor costs to replace old servers," Application developer time 
E. Database engine capacity ", BC 
145, How does AWS charge for AWS Lambda?,Users bid on the maximum price they are willing to pay per hour.,"
Users choose a 1-, 3- or 5-year upfront payment term.","Users pay for the 
required permanent storage on a file system or in a database."," Users pay 
based on the number of requests and consumed compute resources. "," D  AWS Lambda is charging its users by the number of requests for their 
functions and by the duration, which is the time the code needs to execute. 
When code starts running in response to an event, AWS Lambda counts a 
request. It will charge the total number of requests across all of the 
functions used. Duration is calculated by the time when your code started 
executing until it returns or until it is terminated, rounded up near to 
100ms. The AWS Lambda pricing depends on the amount of memory that the user 
used to allocate to the 
function."
146," What function do security groups serve related to Amazon Elastic Compute 
Cloud (Amazon EC2) instance security?",Act as a virtual firewall for the Amazon EC2 instance.,"Secure AWS 
user accounts with AWS Identity and Access Management (IAM) policies.","
Provide DDoS protection with AWS Shie"," Use Amazon CloudFront to 
protect the Amazon EC2 instance. "," A  AWS Security Groups act like a firewall for your Amazon EC2 instances 
controlling both inbound and outbound traffic. When you launch an instance 
on AmazonEC2, you need to assign it to a particular security group.After 
that, you can set up ports and protocols, which remain open for users and 
computers over the internet.AWS Security Groups are very flexible. You can 
use the default security group and still customize it according to your 
liking (although we donג€™t recommend this practice because groups should 
be named according to their purpose.) Or you can create a security group 
that you want for your specific applications. To do this, you can write the 
corresponding code or use the Amazon EC2 console to make the process 
easier."
147," Which disaster recovery scenario offers the lowest probability of down 
time?",Backup and restore,Pilot light,Warm standby," Multi-site 
active-active "," D  ✑ Backup and Restore: a simple, straightforward, cost-effective method 
that backs up and restores data as needed. Keep in mind that because none 
of your data is on standby, this method, while cheap, can be quite 
time-consuming.✑ Pilot Light: This method keeps critical applications and 
data at the ready so that it can be quickly retrieved if needed.✑ Warm 
Standby: This method keeps a duplicate version of your businessג€™ core 
elements running on standby at all times, which makes for a little downtime 
and an almost seamless transition.✑ Multi-Site Solution: Also known as a 
Hot Standby, this method fully replicates your companyג€™s 
data/applications between two or more active locations and splits your 
traffic/usage between them. If a disaster strikes, everything is simply 
rerouted to the unaffected area, which means youג€™ll suffer almost zero 
downtime. However, by running two separate environments simultaneously, you 
will obviously incur much higher 
costs."
148," What will help a company perform a cost benefit analysis of migrating to 
the AWS Cloud?",Cost Explorer,AWS Total Cost of Ownership (TCO) Calculator,"AWS 
Simple Monthly Calculator", AWS Trusted Advisor ," B  AWS TCO calculators allow you to estimate the cost savings when using AWS 
and provide a detailed set of reports that can be used in executive 
presentations.The calculators also give you the option to modify 
assumptions that best meet your business 
needs."
149," Which of the following provides the ability to share the cost benefits of 
Reserved Instances across AWS accounts?",AWS Cost Explorer between AWS accounts,"Linked accounts and 
consolidated billing","Amazon Elastic Compute Cloud (Amazon EC2) Reserved 
Instance Utilization Report"," Amazon EC2 Instance Usage Report between AWS 
accounts "," B  The way that Reserved Instance discounts apply to accounts in an 
organization's consolidated billing family depends on whether Reserved 
Instance sharing is turned on or off for the account. By default, Reserved 
Instance sharing for all accounts in an organization is turned on. You can 
change this setting by Turning OffReserved Instance Sharing for an 
account.The capacity reservation for a Reserved Instance applies only to 
the account the Reserved Instance was purchased on, regardless of whether 
Reserved Instance sharing is turned on or 
off."
150," When comparing AWS Cloud with on-premises Total Cost of Ownership, which 
expenses must be considered? (Choose two.)",Software development,Project management,Storage hardware," 
Physical servers E. Antivirus software license ", CD  
151," A company is designing an application hosted in a single AWS Region 
serving end-users spread across the world. The company wants to provide the 
end-users low latency access to the application data.Which of the following services will help fulfill this requirement?",Amazon CloudFront,AWS Direct Connect,Amazon Route 53 global DNS , Amazon Simple Storage Service (Amazon S3) transfer acceleration ," A  Use AWS Local Zones to deploy workloads closer to your end-users for 
low-latency requirements. AWS Local Zones have their own connection to the 
internet and support AWS Direct Connect, so resources created in the Local 
Zone can serve local end-users with very low-latency 
communications.nation"
152," Which of the following deployment models enables customers to fully trade 
their capital IT expenses for operational expenses?",On-premises,Hybrid,Cloud, Platform as a service ," C  The cloud allows you to trade capital expenses (such as data centers and 
physical servers) for variable expenses, and only pay for IT as you consume 
it. Plus, the variable expenses are much lower than what you would pay to 
do it yourself because of the economies of 
scale."
153," How is asset management on AWS easier than asset management in a physical 
data center?","AWS provides a Configuration Management Database that users can 
maintain.","AWS performs infrastructure discovery scans on the 
customerג€™s behalf.","Amazon EC2 automatically generates an asset report 
and places it in the customerג€™s specified Amazon S3 bucket."," Users can 
gather asset metadata reliably with a few API calls. "," B  AWS assets are centrally managed through an inventory management system 
that stores and tracks owner, location, status, maintenance, and 
descriptive information for AWS-owned assets. Following procurement, assets 
are scanned and tracked, and assets undergoing maintenance are checked and 
monitored for ownership, status, and 
resolution."
154, What feature of Amazon RDS helps to create globally redundant databases?,Snapshots,Automatic patching and updating,"Cross-Region read 
replicas", Provisioned IOPS ," C  
"
155," Using AWS Identity and Access Management (IAM) to grant access only to the 
resources needed to perform a task is a concept known as:",restricted access.,as-needed access.,least privilege access.," 
token access. "," C  When you create IAM policies, follow the standard security advice of 
granting least privilege, or granting only the permissions required to 
perform a task.Determine what users (and roles) need to do and then craft 
policies that allow them to perform only those 
tasks."
156," Which methods can be used to identify AWS costs by departments? (Choose 
two.)",Enable multi-factor authentication for the AWS account root user.,"
Create separate accounts for each department.","Use Reserved Instances 
whenever possible."," Use tags to associate each instance with a particular 
department. E. Pay bills using purchase orders. ", BD 
157," Under the AWS shared responsibility model, customer responsibilities 
include which one of the following?","Securing the hardware, software, facilities, and networks that run all 
products and services.","Providing certificates, reports, and other 
documentation directly to AWS customers under NDA.","Configuring the 
operating system, network, and firewall."," Obtaining industry 
certifications and independent third-party attestations. ", C  
158," Which managed AWS service provides real-time guidance on AWS security best 
practices?",AWS X-Ray,AWS Trusted Advisor,Amazon CloudWatch," AWS Systems 
Manager "," B  AWS offers premium services such as AWS Trusted Advisor, which provides 
real-time guidance to help you reduce cost, increase performance, and 
improve security."
159," Which feature adds elasticity to Amazon EC2 instances to handle the 
changing demand for workloads?",Resource groups,Lifecycle policies,Application Load Balancer," 
Amazon EC2 Auto Scaling "," D  Support for monitoring the health of each service independently, as health 
checks are defined at the target group level and many CloudWatch metrics 
are reported at the target group level. Attaching a target group to an Auto 
Scaling group enables you to scale each service dynamically based on 
demand."
160," A company has multiple AWS accounts and wants to simplify and consolidate 
its billing process.Which AWS service will achieve this?",AWS Cost and Usage Reports,AWS Organizations,AWS Cost Explorer," 
AWS Budgets "," B  You can use the consolidated billing feature in AWS Organizations to 
consolidate billing and payment for multiple AWS accounts or multiple 
Amazon InternetServices Pvt. Ltd (AISPL) accounts. Every organization in 
AWS Organizations has a master (payer) account that pays the charges of all 
the member (linked) 
accounts."
161," Which AWS hybrid storage service enables your on-premises applications to 
seamlessly use AWS Cloud storage through standard file-storage protocols?",AWS Direct Connect,AWS Snowball,AWS Storage Gateway," AWS 
Snowball Edge "," C  The AWS Storage Gateway service enables hybrid cloud storage between 
on-premises environments and the AWS Cloud. It seamlessly integrates 
on-premises enterprise applications and workflows with Amazonג€™s block and 
object cloud storage services through industry standard storage protocols. 
It provides low-latency performance by caching frequently accessed data on 
premises, while storing data securely and durably in Amazon cloud storage 
services. It provides an optimized data transfer mechanism and bandwidth 
management, which tolerates unreliable networks and minimizes the amount of 
data being transferred. It brings the security, manageability, durability, 
and scalability of AWS to existing enterprise environments through native 
integration with AWS encryption, identity management, monitoring, and 
storage services. Typical use cases include backup and archiving, disaster 
recovery, moving data to S3 for in-cloud workloads, and tiered 
storage."
162, What is a responsibility of AWS in the shared responsibility model?,Updating the network ACLs to block traffic to vulnerable ports.,"
Patching operating systems running on Amazon EC2 instances.","Updating the 
firmware on the underlying EC2 hosts."," Updating the security group rules 
to block traffic to the vulnerable ports. "," C  
"
163," Which architectural principle is used when deploying an Amazon Relational 
Database Service (Amazon RDS) instance in Multiple Availability Zone mode?",Implement loose coupling.,Design for failure.,"Automate everything 
that can be automat"," Use services, not servers. "," B  Amazon RDS Multi-AZ deployments provide enhanced availability and 
durability for Database (DB) Instances, making them a natural fit for 
production database workloads. When you provision a Multi-AZ DB Instance, 
Amazon RDS automatically creates a primary DB Instance and synchronously 
replicates the data to a standby instance in a different Availability Zone 
(AZ). Each AZ runs on its own physically distinct, independent 
infrastructure, and is engineered to be highly reliable. In case of an 
infrastructure failure, Amazon RDS performs an automatic failover to the 
standby (or to a read replica in the case of Amazon Aurora), so that you 
can resume database operations as soon as the failover is complete. Since 
the endpoint for your DB Instance remains the same after a failover, your 
application can resume database operation without the need for manual 
administrative 
intervention."
164, What does it mean to grant least privilege to AWS IAM users?,It is granting permissions to a single user only.,"It is granting 
permissions using AWS IAM policies only.","It is granting 
AdministratorAccess policy permissions to trustworthy users."," It is 
granting only the permissions required to perform a given task. "," D  When you create IAM policies, follow the standard security advice of 
granting least privilege, or granting only the permissions required to 
perform a task.Determine what users (and roles) need to do and then craft 
policies that allow them to perform only those 
tasks."
165," What is a benefit of loose coupling as a principle of cloud architecture 
design?",It facilitates low-latency request handling.,"It allows applications 
to have dependent workflows.","It prevents cascading failures between 
different components."," It allows companies to focus on their physical 
data center operations. "," C  IT systems should ideally be designed in a way that reduces 
inter-dependencies. Your components need to be loosely coupled to avoid 
changes or failure in one of the components from affecting others.Your 
infrastructure also needs to have well defined interfaces that allow the 
various components to interact with each other only through specific, 
technology- agnostic interfaces. Modifying any underlying operations 
without affecting other components should be made 
possible."
166," A director has been tasked with investigating hybrid cloud architecture. 
The company currently accesses AWS over the public internet.Which service will facilitate private hybrid connectivity?",Amazon Virtual Private Cloud (Amazon VPC) NAT Gateway,"AWS Direct 
Connect",Amazon Simple Storage Service (Amazon S3) Transfer Acceleration , AWS Web Application Firewall (AWS WAF) ," B  Amazon VPC provides multiple network connectivity options for you to 
leverage depending on your current network designs and requirements. These 
connectivity options include leveraging either the internet or an AWS 
Direct Connect connection as the network backbone and terminating the 
connection into either AWS or user-managed network endpoints. Additionally, 
with AWS, you can choose how network routing is delivered between Amazon 
VPC and your networks, leveraging either AWS or user-managed network 
equipment and 
routes."
167," A companyג€™s web application currently has tight dependencies on 
underlying components, so when one component fails the entire web 
application fails.Applying which AWS Cloud design principle will address the current design 
issue?","Implementing elasticity, enabling the application to scale up or scale 
down as demand changes.","Enabling several EC2 instances to run in 
parallel to achieve better performance.","Focusing on decoupling 
components by isolating them and ensuring individual components can 
function when other components fail."," Doubling EC2 computing resources to 
increase system fault tolerance. ", C 
168, How can a customer increase security to AWS account logons? (Choose two.),Configure AWS Certificate Manager,"Enable Multi-Factor Authentication 
(MFA)",Use Amazon Cognito to manage access," Configure a strong password 
policy E. Enable AWS Organizations "," BC  Your root account should always be protected by Multi-Factor 
Authentication (MFA). This additional layer of security helps protect 
against unauthorized logins to your account by requiring two factors: 
something you know (a password) and something you have (for example, an MFA 
device). AWS supports virtual and hardware MFA devices and U2F security 
keys.Cognito can be used as an Identity Provider (IdP), where it stores and 
maintains users and credentials securely for your applications, or it can 
be integrated withOpenID Connect, SAML, and other popular web identity 
providers like Amazon.com.Using Amazon Cognito, you can generate temporary 
access credentials for your clients to access AWS services, eliminating the 
need to store long-term credentials in client 
applications."
169," What AWS service would be used to centrally manage AWS access across 
multiple accounts?",AWS Service Catalog,AWS Config,AWS Trusted Advisor," AWS 
Organizations "," D  To improve control over your AWS environment, you can use AWS 
Organizations to create groups of accounts, and then attach policies to a 
group to ensure the correct policies are applied across the accounts 
without requiring custom scripts and manual 
processes."
170," Under the AWS shared responsibility model, customers are responsible for 
which aspects of security in the cloud? (Choose two.)",Virtualization Management,Hardware management,"Encryption 
management", Facilities management E. Firewall management ," CE  With the basic Cloud infrastructure secured and maintained by AWS, the 
responsibility for what goes into the cloud falls on you. This covers both 
client and server side encryption and network traffic protection, security 
of the operating system, network, and firewall configuration, followed by 
application security and identity and access management.Firewall 
configuration remains the responsibility of the end user, which integrates 
at the platform and application management level. For example, RDS utilizes 
security groups, which you would be responsible for configuring and 
implementing."
171, What can users access from AWS Artifact?,AWS security and compliance documents,"A download of configuration 
management details for all AWS resources","Training materials for AWS 
services"," A security assessment of the applications deployed in the AWS 
Cloud "," A  You can use AWS Artifact Reports to download AWS security and compliance 
documents, such as AWS ISO certifications, Payment Card Industry (PCI), 
andSystem and Organization Control (SOC) 
reports."
172," What is the MINIMUM AWS Support plan that provides designated Technical 
Account Managers?",Enterprise,Business,Developer, Basic , A  
173," Which of the following is an AWS Well-Architected Framework design 
principle related to reliability?",Deployment to a single Availability Zone,"Ability to recover from 
failure",Design for cost optimization, Perform operations as code ," B  
"
174," Which type of AWS storage is ephemeral and is deleted when an instance is 
stopped or terminated?",Amazon EBS,Amazon EC2 instance store,Amazon EFS, Amazon S3 ," B  When you stop or terminate an instance, every block of storage in the 
instance store is reset. Therefore, your data cannot be accessed through 
the instance store of another 
instance."
175," What is an advantage of using the AWS Cloud over a traditional on-premises 
solution?",Users do not have to guess about future capacity needs.,"Users can 
utilize existing hardware contracts for purchases.","Users can fix costs 
no matter what their traffic is."," Users can avoid audits by using reports 
from AWS. ", A  
176, Which of the following is an AWS-managed compute service?,Amazon SWF,Amazon EC2,AWS Lambda, Amazon Aurora , B 
177," Which of the following is an important architectural principle when 
designing cloud applications?",Store data and backups in the same region.,"Design tightly coupled 
system components.",Avoid multi-threading., Design for failure. ," D  There are six design principles for operational excellence in the cloud:✑ 
Perform operations as code✑ Annotate documentation✑ Make frequent, small, 
reversible changesRefine operations procedures frequently✑ Anticipate 
failure✑ Learn from all operational 
failures"
178," Which mechanism allows developers to access AWS services from application 
code?",AWS Software Development Kit,AWS Management Console,"AWS 
CodePipeline", AWS Config , A  
179," Which Amazon EC2 pricing model is the MOST cost efficient for an 
uninterruptible workload that runs once a year for 24 hours?",On-Demand Instances,Reserved Instances,Spot Instances," 
Dedicated Instances "," A  With On-Demand instances, you pay for compute capacity by the hour or the 
second depending on which instances you run. No longer-term commitments or 
upfront payments are needed. You can increase or decrease your compute 
capacity depending on the demands of your application and only pay the 
specified per hourly rates for the instance you 
use."
180," Which AWS service can a customer use to set up an alert notification when 
the account is approaching a particular dollar amount?",AWS Cost and Usage reports,AWS Budgets,AWS Cost Explorer," AWS 
Trusted Advisor "," B  
"
