Srno,Question,OptionA,OptionB,OptionC,OptionD,Answer
87," A client notices that their engineers often make mistakes when creating 
Amazon SQS queues for their backend system.Which action should a Solutions Architect recommend to improve this process?",Use the AWS CLI to create queues using AWS IAM Access Keys.,"Write a 
script to create the Amazon SQS queue using AWS Lambda.","Use AWS Elastic 
Beanstalk to automatically create the Amazon SQS queues."," Use AWS 
CloudFormation Templates to manage the Amazon SQS queue creation. ", A c
88," A development team is building an application with front-end and backend 
application tiers. Each tier consists of Amazon EC2 instances behind an ELB 
ClassicLoad Balancer. The instances run in Auto Scaling groups across multiple 
Availability Zones. The network team has allocated the 10.0.0.0/24 address 
space for this application. Only the front-end load balancer should be 
exposed to the Internet. There are concerns about the limited size of the 
address space and the ability of each tier to scale.What should the VPC subnet design be in each Availability Zone?","One public subnet for the load balancer tier, one public subnet for the 
front-end tier, and one private subnet for the backend tier.","One shared 
public subnet for all tiers of the application.","One public subnet for 
the load balancer tier and one shared private subnet for the application 
tiers.", One shared private subnet for all tiers of the application. , A 
89," A Solutions Architect must select the storage type for a big data 
application that requires very high sequential I/O. The data must persist 
if the instance is stopped.Which of the following storage types will provide the best fit at the 
LOWEST cost for the application?",An Amazon EC2 instance store local SSD volume.,"An Amazon EBS 
provisioned IOPS SSD volume.","An Amazon EBS throughput optimized HDD 
volume.", An Amazon EBS general purpose SSD volume. , C 
90," A company hosts a two-tier application that consists of a publicly 
accessible web server that communicates with a private database. Only HTTPS 
port 443 traffic to the web server must be allowed from the Internet.Which of the following options will achieve these requirements? (Choose 
two.)",Security group rule that allows inbound Internet traffic for port 443. ,"Security group rule that denies all inbound Internet traffic except port 
443.","Network ACL rule that allows port 443 inbound and all ports 
outbound for Internet traffic."," Security group rule that allows Internet 
traffic for port 443 in both inbound and outbound. E. Network ACL rule that 
allows port 443 for both inbound and outbound for all Internet traffic. ", AE 
91," Legacy applications currently send messages through a single Amazon EC2 
instance, which then routes the messages to the appropriate destinations. 
TheAmazon EC2 instance is a bottleneck and single point of failure, so the 
company would like to address these issues.Which services could address this architectural use case? (Choose two.)",Amazon SNS,AWS STS,Amazon SQS, Amazon Route 53 E. AWS Glue , AC 
92," A Solutions Architect needs to design an architecture for a new, 
mission-critical batch processing billing application. The application is 
required to run Monday,Wednesday, and Friday from 5 AM to 11 AM.Which is the MOST cost-effective Amazon EC2 pricing model?",Amazon EC2 Spot Instances,On-Demand Amazon EC2 Instances,"
Scheduled Reserved Instances", Dedicated Amazon EC2 Instances , C 
93," A workload consists of downloading an image from an Amazon S3 bucket, 
processing the image, and moving it to another Amazon S3 bucket. An Amazon 
EC2 instance runs a scheduled task every hour to perform the operation.How should a Solutions Architect redesign the process so that it is highly 
available?",Change the Amazon EC2 instance to compute optimized.,"Launch a second 
Amazon EC2 instance to monitor the health of the first.",#VALUE!," Initially copy the images to an 
attached Amazon EBS volume. ", C 
94," An application is running on an Amazon EC2 instance in a private subnet. 
The application needs to read and write data onto Amazon Kinesis Data 
Streams, and corporate policy requires that this traffic should not go to 
the internet.How can these requirements be met?","Configure a NAT gateway in a public subnet and route all traffic to 
Amazon Kinesis through the NAT gateway.","Configure a gateway VPC endpoint 
for Kinesis and route all traffic to Kinesis through the gateway VPC 
endpoint.","Configure an interface VPC endpoint for Kinesis and route all 
traffic to Kinesis through the gateway VPC endpoint."," Configure an AWS 
Direct Connect private virtual interface for Kinesis and route all traffic 
to Kinesis through the virtual interface. ", C 
95," A Solutions Architect is building an application that stores object data. 
Compliance requirements state that the data stored is immutable.Which service meets these requirements?",Amazon S3,Amazon Glacier,Amazon EFS, AWS Storage Gateway ," A Solutions Architect is building an application that stores object data. 
Compliance requirements state that the data stored is immutable.Which service meets these requirements?"
96," A Solutions Architect is defining a shared Amazon S3 bucket where 
corporate applications will save objects.How can the Architect ensure that when an application uploads an object to 
the Amazon S3 bucket, the object is encrypted?",Set a CORS configuration.,"Set a bucket policy to encrypt all Amazon 
S3 objects.",Enable default encryption on the bucket.," Set permission 
for users. ", A S
97," An application tier currently hosts two web services on the same set of 
instances, listening on different ports.Which AWS service should a Solutions Architect use to route traffic to the 
service based on the incoming request path?",AWS Application Load Balancer,Amazon CloudFront,"Amazon Classic 
Load Balancer", Amazon Route 53 , An 
98," A data analytics startup company asks a Solutions Architect to recommend 
an AWS data store options for indexed data. The data processing engine will 
generate and input more than 64 TB of processed data every day, with item 
sizes reaching up to 300 KB. The startup is flexible with data storage and 
is more interested in a database that requires minimal effort to scale with 
a growing dataset size.Which AWS data store service should the Architect recommend?",Amazon RDS,Amazon Redshift,Amazon DynamoDB, Amazon S3 , C 
99," A Solutions Architect needs to allow developers to have SSH connectivity 
to web servers. The requirements are as follows:✑ Limit access to users origination from the corporate network.✑ Web servers cannot have SSH access directly from the Internet.✑ Web servers reside in a private subnet.Which combination of steps must the Architect complete to meet these 
requirements? (Choose two.)","Create a bastion host that authenticates users against the corporate 
directory.","Create a bastion host with security group rules that only 
allow traffic from the corporate network.","Attach an IAM role to the 
bastion host with relevant permissions."," Configure the web servers' 
security group to allow SSH traffic from a bastion host. E. Deny all SSH 
traffic from the corporate network in the inbound network ACL. ", AC 
100," Two Auto Scaling applications, Application A and Application B, currently 
run within a shared set of subnets. A Solutions Architect wants to make 
sure thatApplication A can make requests to Application B, but Application B should 
be denied from making requests to Application A.Which is the SIMPLEST solution to achieve this policy?","Using security groups that reference the security groups of the other 
application","Using security groups that reference the application 
server's IP addresses","Using Network Access Control Lists to allow/deny 
traffic based on application IP addresses"," Migrating the applications to 
separate subnets from each other ", A 
101," A Solutions Architect notices slower response times from an application. 
The CloudWatch metrics on the MySQL RDS indicate Read IOPS are high and 
fluctuate significantly when the database is under load.How should the database environment be re-designed to resolve the IOPS 
fluctuation?",Change the RDS instance type to get more RAM.,"Change the storage 
type to Provisioned IOPS.",Scale the web server tier horizontally.," 
Split the DB layer into separate RDS instances. ", B 
102," A Solutions Architect is designing a solution that can monitor memory and 
disk space utilization of all Amazon EC2 instances running Amazon Linux andWindows.Which solution meets this requirement?",Default Amazon CloudWatch metrics.,Custom Amazon CloudWatch metrics. ,Amazon Inspector resource monitoring.," Default monitoring of Amazon 
EC2 instances. ", A S
103," A Solutions Architect is creating a new relational database. The 
Compliance team will use the database, and mandates that data content must 
be stored across three different Availability Zones.Which of the following options should the Architect Use?",Amazon Aurora,Amazon RDS MySQL with Multi-AZ enabled,"Amazon 
DynamoDB", Amazon ElastiCache , B 
104," A company needs to quickly ensure that all files created in an Amazon S3 
bucket in us-east-1 are also available in another bucket in ap-southeast-2.Which option represents the SIMPLIEST way to implement this design?","Add an S3 lifecycle rule to move any files from the bucket in us-east-1 
to the bucket in ap-southeast-2.","Create a Lambda function to be 
triggered for every new file in us-east-1 that copies the file to the 
bucket in ap-southeast-2.","Use SNS to notify the bucket in ap-southeast-2 
to create a file whenever the file is created in the bucket in us-east-1. "," Enable versioning and configure cross-region replication from the bucket 
in us-east-1 to the bucket in ap-southeast-2. ", D 
105," An organization has a long-running image processing application that runs 
on Spot Instances that will be terminated when interrupted. A highly 
available workload must be designed to respond to Spot Instance 
interruption notices. The solution must include a two-minute warning when 
there is not enough capacity.How can these requirements be met?","Use Amazon CloudWatch Events to invoke an AWS Lambda function that can 
launch On-Demand Instances.","Regularly store data from the application on 
Amazon DynamoDB. Increase the maximum number of instances in the AWS Auto 
Scaling group.","Manually place a bid for additional Spot Instances at a 
higher price in the same AWS Region and Availability Zone."," Ensure that 
the Amazon Machine Image associated with the application has the latest 
configurations for the launch configuration. ", B 
106," A company has an Amazon RDS-managed online transaction processing system 
that has very heavy read and write. The Solutions Architect notices 
throughput issues with the system.How can the responsiveness of the primary database be improved?","Use asynchronous replication for standby to maximize throughput during 
peak demand.","Offload SELECT queries that can tolerate stale data to READ 
replica.",#VALUE!," Offload 
SELECT query that needs the most current data to READ replica. ", A c
107," A company is designing a failover strategy in Amazon Route 53 for its 
resources between two AWS Regions. The company must have the ability to 
route a user's traffic to the region with least latency, and if both 
regions are healthy, Route 53 should route traffic to resources in both 
regions.Which strategy should the Solutions Architect recommend?",Configure active-active failover using Route 53 latency DNS records.,"
Configure active-passive failover using Route 53 latency DNS records.","
Configure active-active failover using Route 53 failover DNS records."," 
Configure active-passive failover using Route 53 failover DNS records. ", A 
108," A company is developing several critical long-running applications hosted 
on Docker.How should a Solutions Architect design a solution to meet the scalability 
and orchestration requirements on AWS?",Use Amazon ECS and Service Auto Scaling.,"Use Spot Instances for 
orchestration and for scaling containers on existing Amazon EC2 instances. ",Use AWS OpsWorks to launch containers in new Amazon EC2 instances.," 
Use Auto Scaling groups to launch containers on existing Amazon EC2 
instances. ", A c
109," A Solutions Architect is developing a new web application on AWS. The 
Architect expects the application to become very popular, so the 
application must scale to support the load. The Architect wants to focus on 
software development and deploying new features without provisioning or 
managing instances.What solution is appropriate?",Amazon API Gateway and AWS Lambda,"Elastic Load Balancing with Auto 
Scaling groups and Amazon EC2",Amazon API Gateway and Amazon EC2," 
Amazon CloudFront and AWS Lambda ", D 
110," A Solutions Architect needs to use AWS to implement pilot light disaster 
recovery for a three-tier web application hosted in an on-premises 
datacenter.Which solution allows rapid provision of working, fully-scaled production 
environment?","Continuously replicate the production database server to Amazon RDS. 
Use AWS CloudFormation to deploy the application and any additional servers 
if necessary.","Continuously replicate the production database server to 
Amazon RDS. Create one application load balancer and register on-premises 
servers. Configure ELB Application Load Balancer to automatically deploy 
Amazon EC2 instances for application and additional servers if the 
on-premises application is down.","Use a scheduled Lambda function to 
replicate the production database to AWS. Use Amazon Route 53 health checks 
to deploy the application automatically to Amazon S3 if production is 
unhealthy."," Use a scheduled Lambda function to replicate the production 
database to AWS. Register on-premises servers to an Auto Scaling group and 
deploy the application and additional servers if production is unavailable. ", B 
111," An organization designs a mobile application for their customers to upload 
photos to a site. The application needs a secure login with MFA. The 
organization wants to limit the initial build time and maintenance of the 
solution.Which solution should a Solutions Architect recommend to meet the 
requirements?",Use Amazon Cognito Identity with SMS-based MFA.,"Edit AWS IAM 
policies to require MFA for all users.","Federate IAM against corporate AD 
that requires MFA.", Use Amazon API Gateway and require SSE for photos. , A 
112," A Solutions Architect is designing a solution to monitor weather changes 
by the minute. The frontend application is hosted on Amazon EC2 instances. 
The backend must be scalable to a virtually unlimited size, and data 
retrieval must occur with minimal latency.Which AWS service should the Architect use to store the data and achieve 
these requirements?",Amazon S3,Amazon DynamoDB,Amazon RDS, Amazon EBS , A 
113," A company hosts a website on premises. The website has a mix of static and 
dynamic content, but users experience latency when loading static files.Which AWS service can help reduce latency?",Amazon CloudFront with on-premises servers as the origin,"ELB 
Application Load Balancer",Amazon Route 53 latency-based routing," 
Amazon EFS to store and server static files ", A 
114," A company wants to analyze all of its sales information aggregated over 
the last 12 months. The company expects there to be over 10TB of data from 
multiple sources.What service should be used?",Amazon DynamoDB,Amazon Aurora MySQL,Amazon RDS MySQL," Amazon 
Redshift ", D 
115," A media company has deployed a multi-tier architecture on AWS. Web servers 
are deployed in two Availability Zones using an Auto Scaling group with a 
defaultAuto Scaling termination policy. The web servers' Auto Scaling group 
currently has 15 instances running.Which instance will be terminated first during a scale-in operation?",The instance with the oldest launch configuration.,"The instance in 
the Availability Zone that has most instances.","The instance closest to 
the next billing hour.", The oldest instance in the group. , A 
116," A retail company has sensors placed in its physical retail stores. The 
sensors send messages over HTTP when customers interact with in-store 
product displays.A Solutions Architect needs to implement a system for processing those 
sensor messages; the results must be available for the Data Analysis team.Which architecture should be used to meet these requirements?","Implement an Amazon API Gateway to server as the HTTP endpoint. Have 
the API Gateway trigger an AWS Lambda function to process the messages, and 
save the results to an Amazon DynamoDB table.","Create an Amazon EC2 
instance to server as the HTTP endpoint and to process the messages. Save 
the results to Amazon S3 for the Data Analysis team to download.",#VALUE!," Use 
AWS Direct Connect to connect sensors to DynamoDB so that data can be 
written directly to a DynamoDB table where it can be accessed by the Data 
Analysis team. ", A 
117," A client is migrating a legacy web application to the AWS Cloud. The 
current system uses an Oracle database as a relational database management 
system solution. Backups occur every night, and the data is stored 
on-premises. The Solutions Architect must automate the backups and identity 
a storage solution while keeping costs low.Which AWS service will meet these requirements?",Amazon RDS,Amazon RedShift,Amazon DynamoDB Accelerator," Amazon 
ElastiCache ", A 
118," A company has an Amazon RDS database backing its production website. The 
Sales team needs to run queries against the database to track training 
program effectiveness. Queries against the production database cannot 
impact performance, and the solution must be easy to maintain.How can these requirements be met?","Use an Amazon Redshift database. Copy the product database into 
Redshift and allow the team to query it.","Use an Amazon RDS read replica 
of the production database and allow the team to query against it.","Use 
multiple Amazon EC2 instances running replicas of the production database, 
placed behind a load balancer."," Use an Amazon DynamoDB table to store a 
copy of the data. ", A 
119," A company must collect temperature data from thousands of remote weather 
devices. The company must also store this data in a data warehouse to run 
aggregations and visualizations.Which services will meet these requirements? (Choose two.)",Amazon Kinesis Data Firehouse,Amazon SQS,Amazon Redshift," 
Amazon SNS E. Amazon DynamoDB ", AB 
120," A Solutions Architect is deploying a new production MySQL database on AWS. 
It is critical that the database is highly available.What should the Architect do to achieve this goal with Amazon RDS?","Create a read replica of the primary database and deploy it in a 
different AWS Region.","Enable multi-AZ to create a standby database in a 
different Availability Zone.","Enable multi-AZ to create a standby 
database in a different AWS Region."," Create a read replica of the primary 
database and deploy it in a different Availability Zone. ", A 
121," After reviewing their logs, a startup company noticed large, random spikes 
in traffic to their web application. The company wants to configure a 
cost-efficient AutoScaling solution to support high availability of the web application.Which scaling plan should a Solutions Architect recommend to meet the 
company's needs?",Dynamic,Scheduled,Manual, Lifecycle , A 
122," To meet compliance standards, a company must have encrypted archival data 
storage. Data will be accessed infrequently, with lead times well in 
advance of when archived data must be recovered. The company requires that 
the storage be secure, durable, and provided at the lowest price per 1TB of 
data stored.What type of storage should be used?",Amazon S3,Amazon EBS,Amazon Glacier, Amazon EFS , C 
123," An online company wants to conduct real-time sentiment analysis about its 
products from its social media channels using SQL.Which of the following solutions has the LOWEST cost and operational burden?","Set up a streaming data ingestion application on Amazon EC2 and connect 
it to a Hadoop cluster for data processing. Send the output to Amazon S3 
and use Amazon Athena to analyze the data.","Configure the input stream 
using Amazon Kinesis Data Streams. Use Amazon Kinesis Data Analytics to 
write SQL queries against the stream.","Configure the input stream using 
Amazon Kinesis Data Streams. Use Amazon Kinesis Data Firehose to send data 
to an Amazon Redshift cluster, and then query directly against Amazon 
Redshift"," Set up streaming data ingestion application on Amazon EC2 and 
send the output to Amazon S3 using Kinesis Data Firehose. Use Athena to 
analyze the data. ", B 
124," An organization must process a stream of large-volume hashtag data in real 
time and needs to run custom SQL queries on the data to get insights on 
certain tags.The organization needs this solution to be elastic and does not want to 
manage clusters.Which of the following AWS services meets these requirements?",Amazon Elasticsearch Service,Amazon Athena,Amazon Redshift," 
Amazon Kinesis Data Analytics ", An 
125," Which requirements must be met in order for a Solutions Architect to 
specify that an Amazon EC2 instance should stop rather than terminate when 
its SpotInstance is interrupted? (Choose two.)",The Spot Instance request type must be one-time.,"The Spot Instance 
request type must be persistent.","The root volume must be an Amazon EBS 
volume."," The root volume must be an instance store volume. E. The launch 
configuration is changed. ", Whic
126," An application hosted on AWS uses object storage for storing internal 
reports that are accessed daily by the CFO. Currently, these reports are 
publicly available.How should a Solutions Architect re-design this architecture to prevent 
unauthorized access to these reports?","Encrypt the files on the client side and store the files on Amazon 
Glacier, then decrypt the reports on the client side.","Move the files to 
Amazon ElastiCache and provide a username and password for downloading the 
reports.","Specify the use of AWS KMS server-side encryption at the time 
of an object creation on Amazon S3."," Store the files on Amazon S3 and use 
the application to generate S3 pre-signed URLs to users. ", D 
127," A Solutions Architect is designing an application on AWS that will connect 
to the on-premise data center through a VPN connection. The solution must 
be able to log network traffic over the VPN.Which service logs this network traffic?",AWS CloudTrail logs,Amazon VPC flow logs,Amazon S3 bucket logs," 
Amazon CloudWatch Logs ", B 
128," A company wants to durably store data in 8 KB chunks. The company will 
access the data once every few months. However, when the company does 
access the data, it must be done with as little latency as possible.Which AWS service should a Solutions Architect recommend if cost is NOT a 
factor?",Amazon DynamoDB,Amazon EBS Throughput Optimized HDD Volumes,"
Amazon EBS Cold HDD Volumes", Amazon ElastiCache , A 
129," A media company has more than 100TB of data to be stored and retrieved 
infrequently. However, the company occasionally receives requests for data 
within an hour. The company needs a low-cost retrieval method to handle the 
requests.Which service meets this requirement?",Amazon S3 Standard,Amazon Glacier standard retrievals,"Amazon 
Glacier bulk retrievals", Amazon S3 Standard Infrequent Access , A me
130,Loading...,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
131," A team has an application that detects new objects being uploaded into an 
Amazon S3 bucket. The uploads trigger a Lambda function to write object 
metadata into an Amazon DynamoDB table and RDS PostgreSQL database.Which action should the team take to ensure high availability?",Enable cross-region replication in the Amazon S3 bucket.,"Create a 
Lambda function for each Availability Zone the application is deployed in. ",Enable multi-AZ on the RDS PostgreSQL database.," Create a DynamoDB 
stream for the DynamoDB table. ", D 
132," A media company must store 10 TB of audio recordings. Retrieval happens 
infrequently and requestors agree on an 8-hour turnaround time.What is the MOST cost-effective solution to store the files?","Amazon S3 Standard """" Infrequent Access (Standard """" IA)","EBS 
Throughput Optimized HDD (st1)",EBS Cold HDD (sc1), Amazon Glacier , A me
133," A company wants to improve the performance of their web application after 
receiving customer complaints. An analysis concluded that the same complex 
database queries were causing increased latency.What should a Solutions Architect recommend to improve the application's 
performance?",Migrate the database to MySQL.,"Use Amazon RedShift to analyze the 
queries.",Integrate Amazon ElastiCache into the application.," Use a 
Lambda-triggered request to the backend database. ", C 
134," Which tool analyzes account resources and provides a detailed inventory of 
changes over time?",AWS Config,AWS CloudFormation,Amazon CloudWatch," AWS Service 
Catalog ", Whic
135," A Solutions Architect is designing a solution that will include a database 
in Amazon RDS. Corporate security policy mandates that the database, its 
logs, and its backups are all encrypted.Which is the MOST efficient option to fulfill the security policy using 
Amazon RDS?","Launch an Amazon RDS instance with encryption enabled. Enable 
encryption for logs and backups.","Launch an Amazon RDS instance. Enable 
encryption for database, logs and backups.",#VALUE!," 
Launch an Amazon RDS instance. Enable encryption for backups. Encrypt logs 
with a database-engine feature. ", A So
136," A Solutions Architect is designing a public-facing web application for 
employees to upload images to their social media account. The application 
consists of multiple Amazon EC2 instances behind an elastic load balancer, 
an Amazon S3 bucket where uploaded images are stored, and an Amazon 
DynamoDB table for storing image metadata.Which AWS service can the Architect use to automate the process of updating 
metadata in the DynamoDB table upon image upload?",Amazon CloudWatch,AWS CloudFormation,AWS Lambda, Amazon SQS , C 
137," A company's policy requires that all data stored in Amazon S3 is 
encrypted. The company wants to use the option with the least overhead and 
does not want to manage any encryption keys.Which of the following options will meet the company's requirements?",AWS CloudHSM,AWS Trusted Advisor,Server Side Encryption (SSE-S3) , Server Side Encryption (SSE-KMS) , A co
138," A company has gigabytes of web log files stored in an Amazon S3 bucket. A 
Solutions Architect wants to copy those files into Amazon Redshift for 
analysis. The company's security policy mandates that data is encrypted at 
rest both in the Amazon Redshift cluster and the Amazon S3 bucket.Which process will fulfill the security requirements?","Enable server-side encryption on the Amazon S3 bucket. Launch an 
unencrypted Amazon Redshift cluster. Copy the data into the Amazon Redshift 
cluster.","Enable server-side encryption on the Amazon S3 bucket. Copy 
data from the Amazon S3 bucket into an unencrypted Redshift cluster. Enable 
encryption on the cluster.","Launch an encrypted Amazon Redshift cluster. 
Copy the data from the Amazon S3 bucket into the Amazon Redshift cluster. 
Copy data back to the Amazon S3 bucket in encrypted form."," Enable 
server-side encryption on the Amazon S3 bucket. Launch an encrypted Amazon 
Redshift cluster. Copy the data into the Amazon Redshift cluster. ", A co
139," An application runs on Amazon EC2 instances in an Auto Scaling group. When 
instances are terminated, the Systems Operations team cannot determine the 
route cause, because the logs reside on the terminated instances and are 
lost.How can the root cause be determined?",Use ephemeral volumes to store the log files.,"Use a scheduled Amazon 
CloudWatch Event to take regular Amazon EBS snapshots.","Use an Amazon 
CloudWatch agent to push the logs to Amazon CloudWatch Logs."," Use AWS 
CloudTrail to pull the logs from the Amazon EC2 instances. ", C 
140," An on-premises database is experiencing significant performance problems 
when running SQL queries. With 10 users, the lookups are performing as 
expected.As the number of users increases, the lookups take three times longer than 
expected to return values to an application.Which action should a Solutions Architect take to maintain performance as 
the user count increases?",Use Amazon SQS.,Deploy Multi-AZ RDS MySQL,"Configure Amazon RDS 
with additional read replicas."," Migrate from MySQL to RDS Microsoft SQL 
Server. ", B 
141," Employees from several companies use an application once a year during a 
specific 30-day period. The periods are different for each company. Traffic 
to the application spikes during these 30-day periods.How can the application be designed to handle these traffic spikes?","Use an Amazon Route 53 latency routing policy to route traffic to an 
Amazon EC2 instance with the least lag time.","Use Amazon S3 to cache 
static elements of the website requests.","Use an Auto Scaling group to 
scale the number of EC2 instances to match the site traffic."," Use Amazon 
Cloud Front to serve static assets to decrease the load on the EC2 
instances. ", A 
142," A restaurant reservation application needs the ability to maintain a 
waiting list. When a customer tries to reserve a table, and none are 
available, the customer must be put on the waiting list, and the 
application must notify the customer when a table becomes free.What service should the Solutions Architect recommend to ensure that the 
system respects the order in which the customer requests are put onto the 
waiting list?",Amazon SNS,AWS Lambda with sequential dispatch,"A FIFO queue in 
Amazon SQS", A standard queue in Amazon SQS , D 
143," A Solutions Architect is designing a solution for a dynamic website, 
""example.com,"" that is deployed in two regions: Tokyo, Japan and Sydney, 
Australia. TheArchitect wants to ensure that users located in Australia are directed to 
the website deployed in the Sydney region and users located in Japan are 
redirected to the website in the Tokyo region when they browse to 
""example.com"".Which service should the Architect use to achieve this goal with the LEAST 
administrative effort?",Amazon CloudFront with geolocation routing,Amazon Route 53,"
Application Load Balancer"," Network Load Balancer deployed across multiple 
regions ", A So
144," A company has a popular multi-player mobile game hosted in its on-premises 
datacenter. The current infrastructure can no longer keep up with demand 
and the company is considering a move to the cloud.Which solution should a Solutions Architect recommend as the MOST scalable 
and cost-effective solution to meet these needs?",Amazon EC2 and an Application Load Balancer,"Amazon S3 and Amazon 
CloudFront",Amazon EC2 and Amazon Elastic Transcoder," AWS Lambda and 
Amazon API Gateway ", B 
145," A company has instances in private subnets that require outbound access to 
the internet.This requires:",Assigning a public IP address to the instance.,"Updating the route 
table associated with the subnet to point internet traffic through a NAT 
gateway.","Updating the security group associated with the subnet to allow 
ingress on 0.0.0.0/0."," Routing traffic from the instance through a VPC 
endpoint that has internet access. ", B 
146," An organization regularly backs up their application data. The application 
backups are required to be stored on Amazon S3 for a certain amount of 
time. The backups should be accessed instantly in the event of a disaster 
recovery.Which of the following Amazon S3 storage classes would be the MOST 
cost-effective option to meet the needs of this scenario?",Glacier Storage Class,Standard Storage Class,"Standard """" 
Infrequent Access (IA)", Reduced Redundancy Class (RRS) , An 
147," An organization runs an online voting system for a television program. 
During broadcasts, hundreds of thousands of votes are submitted within 
minutes and sent to a front-end fleet of auto-scaled Amazon EC2 instances. 
The EC2 instances push the votes to an RDBMS database. The database is 
unable to keep up with the front-end connection requests.What is the MOST efficient and cost-effective way of ensuring that votes 
are processed in a timely manner?","Each front-end node should send votes to an Amazon SQS queue. Provision 
worker instances to read the SQS queue and process the message information 
into RDBMS database.","As the load on the database increases, 
horizontally-scale the RDBMS database with additional memory-optimized 
instances. When voting has ended, scale down the additional instances.","
Re-provision the RDBMS database with larger, memory-optimized instances. 
When voting ends, re-provision the back-end database with smaller 
instances."," Send votes from each front-end node to Amazon DynamoDB. 
Provision worker instances to process the votes in DynamoDB into the RDBMS 
database. ", A 
148," An application publishes Amazon SNS messages in response to several 
events. An AWS Lambda function subscribes to these messages. Occasionally 
the function will fail while processing a message, so the original event 
message must be preserved for root cause analysis.What architecture will meet these requirements without changing the 
workflow?","Subscribe an Amazon SQS queue to the Amazon SNS topic and trigger the 
Lambda function from the queue.","Configure Lambda to write failures to an 
SQS Dead Letter Queue.","Configure a Dead Letter Queue for the Amazon SNS 
topic."," Configure the Amazon SNS topic to invoke the Lambda function 
synchronously. ", A 
149," An application uses an Amazon RDS MySQL cluster for the database layer. 
Database growth requires periodic resizing of the instance. Currently, 
administrators check the available disk space manually once a week.How can this process be improved?",Use the largest instance type for the database.,"Use AWS CloudTrail 
to monitor storage capacity.","Use Amazon CloudWatch to monitor storage 
capacity.", Use Auto Scaling to increase storage size. , D 
150," A Solutions Architect is designing a customer order processing application 
that will likely have high usage spikes.What should the Architect do to ensure that customer orders are not lost 
before being written to an Amazon RDS database? (Choose two.)",Use Amazon CloudFront to deliver the application front end.,"Use 
Elastic Load Balancing with a round-robin routing algorithm.",#VALUE!," Scale the number of processing 
nodes based on pending order volume. E. Have a standby Amazon RDS instance 
in a separate Availability Zone. ", AC 
151," A business team requires a structured storage solution to store all of a 
company's historical sales data. Currently there are 4 TB of data, which 
will grow to hundreds of terabytes within a few years. The team must be 
able to regularly run queries against the data using current business 
intelligence tools. Fast performance is required despite the dataset growth.Which solution should the company use?",Amazon Redshift,Amazon Aurora,Amazon DynamoDB, Amazon S3 , A b
152," A prediction process requires access to a trained model that is stored in 
an Amazon S3 bucket. The process takes a few seconds to process an image 
and make a prediction. The process is not overly resource-intensive, does 
not require any specialized hardware, and takes less than 512 MB of memory 
to run.What would be the MOST effective compute solution for this use case?",Amazon ECS,Amazon EC2 Spot instances,AWS Lambda functions," AWS 
Elastic Beanstalk ", C 
153," An application that runs on an Amazon EC2 instance must make secure calls 
to Amazon S3 buckets.Which steps can a Solutions Architect take to ensure that the calls are 
made without exposing credentials?","Generate an access key ID and a secret key, and assign an IAM role with 
least privilege.","Create an IAM policy granting access to all services 
and assign it to the Amazon EC2 instance profile.","Create an IAM role 
granting least privilege and assign it to the Amazon EC2 instance profile. "," Generate temporary access keys to grant users temporary access to the 
Amazon EC2 instance. ", C 
154," A Solutions Architect needs to design a centralized logging solution for a 
group of web applications running on Amazon EC2 instances. The solution 
requires minimal development effort due to budget constraints.Which of the following should the Architect recommend?","Create a crontab job script in each instance to push the logs regularly 
to Amazon S3.","Install and configure Amazon CloudWatch Logs agent in the 
Amazon EC2 instances.","Enable Amazon CloudWatch Events in the AWS 
Management Console."," Enable AWS CloudTrail to map all API calls invoked 
by the applications. ", B 
155," A company is using Amazon S3 as its local repository for weekly analysis 
reports. One of the company-wide requirements is to secure data at rest 
using encryption. The company chose Amazon S3 server-side encryption. The 
company wants to know how the object is decrypted when a GET request is 
issued.Which of the following answers this question?",The user needs to place a PUT request to decrypt the object.,"The 
user needs to decrypt the object using a private key.","Amazon S3 manages 
encryption and decryption automatically."," Amazon S3 provides a 
server-side key for decrypting the object. ", D 
156," A company is looking for a fully-managed solution to store its players' 
state information for a rapidly growing game. The application runs on 
multiple Amazon EC2 nodes, which can scale according to the incoming 
traffic. The request can be routed to any of the nodes, therefore, the 
state information must be stored in a centralized database. The players' 
state information needs to be read with strong consistency and needs 
conditional updates for any changes.Which service would be MOST cost-effective, and scale seamlessly?",Amazon S3,Amazon DynamoDB,Amazon RDS, Amazon Redshift , B 
157," An application is running on Amazon EC2 instances behind an Application 
Load Balancer. The instances run in an Auto Scaling group across multiple 
AvailabilityZones. Four instances are required to handle a predictable traffic load. 
The Solutions Architect wants to ensure that the operation is 
fault-tolerant up to the loss of one Availability Zone.Which is the MOST cost-efficient way to meet these requirements?",Deploy two instances in each of three Availability Zones.,"Deploy two 
instances in each of two Availability Zones.","Deploy four instances in 
each of two Availability Zones."," Deploy one instance in each of three 
Availability Zones. ", A 
